,Amount,Severity,Age,Private Attorney,Marital Status,Specialty,Insurance,Gender,large_pmt
count,79210.0,79210.0,79210.0,79210.0,79210.0,79210,79210,79210,79210.0
unique,,,,,,20,5,2,
top,,,,,,Family Practice,Private,Female,
freq,,,,,,11436,34289,47770,
mean,157484.55481631108,4.799659133947734,42.701868450953164,0.6608887766696124,1.8895593990657744,,,,0.1502840550435551
std,193135.09329281718,2.083438555979826,19.811063483703304,0.47341063671282224,1.0025020499850175,,,,0.35735188542686863
min,1576.0,1.0,0.0,0.0,0.0,,,,0.0
25%,43670.25,3.0,28.0,0.0,1.0,,,,0.0
50%,98131.0,4.0,43.0,1.0,2.0,,,,0.0
75%,154675.25,7.0,58.0,1.0,2.0,,,,0.0
max,926411.0,9.0,87.0,1.0,4.0,,,,1.0
